step,epoch,theta_L_mean,theta_L_max,theta_L_grad,theta_R_mean,theta_R_max,theta_R_grad,core_mean,core_max,core_grad
20,0.0065,0.011462,0.149320,0.000000,0.011110,0.140013,0.000000,0.207342,0.868081,0.000000
40,0.013,0.015840,0.247765,0.000000,0.015584,0.219928,0.000000,0.249770,1.282756,0.000000
60,0.0195,0.018791,0.270573,0.000000,0.019252,0.247956,0.000000,0.274571,1.631257,0.000000
80,0.026,0.021935,0.441699,0.000000,0.022080,0.371180,0.000000,0.292786,1.959459,0.000000
100,0.0325,0.024835,0.481483,0.000000,0.024646,0.402244,0.000000,0.310213,2.151721,0.000000
120,0.039,0.027821,0.481144,0.000000,0.026783,0.446287,0.000000,0.321388,2.461890,0.000000
140,0.0456,0.029999,0.504994,0.000000,0.028953,0.446566,0.000000,0.329363,2.990316,0.000000
160,0.0521,0.031681,0.511397,0.000000,0.031152,0.446060,0.000000,0.336273,3.184988,0.000000
180,0.0586,0.033400,0.534651,0.000000,0.032782,0.544442,0.000000,0.341375,3.657167,0.000000
200,0.0651,0.034682,0.570315,0.000000,0.033889,0.598489,0.000000,0.342891,3.624382,0.000000
220,0.0716,0.036653,0.582922,0.000000,0.035255,0.615200,0.000000,0.349592,3.684617,0.000000
240,0.0781,0.038716,0.624115,0.000000,0.036755,0.622620,0.000000,0.353101,3.887135,0.000000
260,0.0846,0.040512,0.621267,0.000000,0.038343,0.670950,0.000000,0.358436,4.112470,0.000000
280,0.0911,0.041883,0.654302,0.000000,0.039806,0.695081,0.000000,0.359372,4.290585,0.000000
300,0.0976,0.043403,0.717013,0.000000,0.041100,0.750940,0.000000,0.360879,4.474246,0.000000
320,0.1041,0.044656,0.680545,0.000000,0.042957,0.782182,0.000000,0.362726,4.466428,0.000000
340,0.1106,0.045963,0.763494,0.000000,0.044147,0.754185,0.000000,0.364708,4.655578,0.000000
360,0.1171,0.047244,0.833099,0.000000,0.044865,0.757841,0.000000,0.367093,5.095132,0.000000
380,0.1236,0.048508,0.900240,0.000000,0.045239,0.778521,0.000000,0.372132,5.288551,0.000000
400,0.1302,0.049555,0.941865,0.000000,0.046191,0.766554,0.000000,0.372825,5.650345,0.000000
420,0.1367,0.050593,0.956905,0.000000,0.046792,0.858600,0.000000,0.373163,5.605290,0.000000
440,0.1432,0.052038,0.928603,0.000000,0.047776,0.927110,0.000000,0.373967,5.781123,0.000000
460,0.1497,0.053434,0.936733,0.000000,0.048884,0.903630,0.000000,0.377206,6.009608,0.000000
480,0.1562,0.054383,0.902278,0.000000,0.049796,0.910922,0.000000,0.378486,6.176045,0.000000
500,0.1627,0.055316,0.908882,0.000000,0.050716,0.933149,0.000000,0.378438,6.188066,0.000000
520,0.1692,0.056103,1.048512,0.000000,0.051709,0.983216,0.000000,0.378096,6.259934,0.000000
540,0.1757,0.056516,1.163027,0.000000,0.052159,1.064411,0.000000,0.378041,6.348695,0.000000
560,0.1822,0.057029,1.164711,0.000000,0.052650,1.017933,0.000000,0.375641,6.024550,0.000000
580,0.1887,0.057648,1.106655,0.000000,0.053511,1.022418,0.000000,0.377484,6.024452,0.000000
600,0.1952,0.057886,1.117756,0.000000,0.053928,1.086072,0.000000,0.378364,6.134245,0.000000
620,0.2017,0.058337,1.288221,0.000000,0.054603,1.121317,0.000000,0.376990,6.248690,0.000000
640,0.2082,0.058838,1.301519,0.000000,0.054809,1.127273,0.000000,0.376316,6.473255,0.000000
660,0.2148,0.059561,1.188390,0.000000,0.055541,1.150662,0.000000,0.377461,6.574523,0.000000
680,0.2213,0.060474,1.190065,0.000000,0.056128,1.156215,0.000000,0.378202,6.537703,0.000000
700,0.2278,0.061386,1.249579,0.000000,0.056428,1.152249,0.000000,0.379118,6.787239,0.000000
720,0.2343,0.062000,1.277452,0.000000,0.057706,1.195505,0.000000,0.378349,6.524900,0.000000
740,0.2408,0.062486,1.270528,0.000000,0.059065,1.214565,0.000000,0.381167,6.279590,0.000000
760,0.2473,0.063235,1.232925,0.000000,0.059964,1.214570,0.000000,0.384773,6.580371,0.000000
780,0.2538,0.063821,1.256710,0.000000,0.060775,1.200254,0.000000,0.388326,6.797317,0.000000
800,0.2603,0.064569,1.248776,0.000000,0.061699,1.160387,0.000000,0.386020,7.022273,0.000000
820,0.2668,0.064837,1.240078,0.000000,0.062331,1.156497,0.000000,0.387682,7.176878,0.000000
840,0.2733,0.065961,1.234505,0.000000,0.063010,1.157318,0.000000,0.388069,6.976906,0.000000
860,0.2798,0.066786,1.275558,0.000000,0.064107,1.177767,0.000000,0.388855,6.722664,0.000000
880,0.2863,0.067796,1.232855,0.000000,0.064691,1.202690,0.000000,0.389464,6.799714,0.000000
900,0.2928,0.067961,1.182632,0.000000,0.064912,1.257485,0.000000,0.389960,6.756478,0.000000
920,0.2994,0.068698,1.218417,0.000000,0.065673,1.254959,0.000000,0.389022,6.628022,0.000000
940,0.3059,0.069496,1.276418,0.000000,0.066394,1.245479,0.000000,0.391773,6.822828,0.000000
960,0.3124,0.070017,1.378836,0.000000,0.066872,1.304402,0.000000,0.393906,6.708628,0.000000
980,0.3189,0.070650,1.454496,0.000000,0.067555,1.278209,0.000000,0.392515,6.674355,0.000000
1000,0.3254,0.071408,1.487949,0.000000,0.068380,1.276848,0.000000,0.392816,6.864135,0.000000
1020,0.3319,0.072000,1.538760,0.000000,0.068526,1.299646,0.000000,0.390569,6.950735,0.000000
1040,0.3384,0.072446,1.564252,0.000000,0.069222,1.326167,0.000000,0.392661,6.881668,0.000000
1060,0.3449,0.073195,1.595388,0.000000,0.069843,1.334222,0.000000,0.392190,6.675920,0.000000
1080,0.3514,0.073635,1.605970,0.000000,0.071031,1.321923,0.000000,0.392859,6.853332,0.000000
1100,0.3579,0.074041,1.565374,0.000000,0.071910,1.353264,0.000000,0.394719,7.033437,0.000000
1120,0.3644,0.074403,1.570564,0.000000,0.072311,1.338247,0.000000,0.392759,6.955502,0.000000
1140,0.3709,0.074652,1.569321,0.000000,0.072957,1.310403,0.000000,0.390722,7.090922,0.000000
1160,0.3775,0.075412,1.586698,0.000000,0.074035,1.386977,0.000000,0.392422,7.047697,0.000000
1180,0.384,0.076123,1.631286,0.000000,0.074665,1.429155,0.000000,0.391952,7.114114,0.000000
1200,0.3905,0.076243,1.637833,0.000000,0.074654,1.450820,0.000000,0.390945,7.208068,0.000000
1220,0.397,0.076553,1.667573,0.000000,0.075261,1.457428,0.000000,0.391789,7.358967,0.000000
1240,0.4035,0.076693,1.720623,0.000000,0.075863,1.394341,0.000000,0.389855,7.440990,0.000000
1260,0.41,0.077069,1.689932,0.000000,0.076138,1.419105,0.000000,0.390515,7.370442,0.000000
1280,0.4165,0.077338,1.605674,0.000000,0.076470,1.449204,0.000000,0.391595,7.317479,0.000000
1300,0.423,0.078035,1.592900,0.000000,0.076314,1.444034,0.000000,0.393222,7.417374,0.000000
1320,0.4295,0.078838,1.616361,0.000000,0.076433,1.530691,0.000000,0.393476,7.290587,0.000000
1340,0.436,0.079453,1.618440,0.000000,0.076979,1.587153,0.000000,0.394847,7.384169,0.000000
1360,0.4425,0.079822,1.666826,0.000000,0.077517,1.581923,0.000000,0.395438,7.385080,0.000000
1380,0.449,0.080381,1.754952,0.000000,0.077814,1.590706,0.000000,0.395079,7.527999,0.000000
1400,0.4555,0.081183,1.757473,0.000000,0.078186,1.594531,0.000000,0.393733,7.525628,0.000000
1420,0.4621,0.082040,1.724015,0.000000,0.078627,1.603492,0.000000,0.392585,7.465868,0.000000
1440,0.4686,0.082508,1.794989,0.000000,0.078814,1.610749,0.000000,0.392955,7.503911,0.000000
1460,0.4751,0.082566,1.847102,0.000000,0.079190,1.583680,0.000000,0.392708,7.630163,0.000000
1480,0.4816,0.082771,1.818147,0.000000,0.079755,1.618108,0.000000,0.392438,7.648894,0.000000
1500,0.4881,0.083081,1.742911,0.000000,0.080137,1.666493,0.000000,0.390385,7.777412,0.000000
1520,0.4946,0.083824,1.729128,0.000000,0.080885,1.710854,0.000000,0.390348,7.760815,0.000000
1540,0.5011,0.084485,1.728657,0.000000,0.081623,1.676515,0.000000,0.392485,7.832956,0.000000
1560,0.5076,0.084734,1.701258,0.000000,0.082461,1.632253,0.000000,0.391781,7.962342,0.000000
1580,0.5141,0.084944,1.676393,0.000000,0.082362,1.564148,0.000000,0.392560,8.048872,0.000000
1600,0.5206,0.085191,1.639194,0.000000,0.082737,1.516469,0.000000,0.395368,8.383787,0.000000
1620,0.5271,0.085438,1.553084,0.000000,0.083445,1.515296,0.000000,0.397288,8.636922,0.000000
1640,0.5336,0.085819,1.527778,0.000000,0.084511,1.519665,0.000000,0.396384,8.682740,0.000000
1660,0.5401,0.085777,1.461605,0.000000,0.084938,1.531534,0.000000,0.397432,8.498744,0.000000
1680,0.5467,0.086399,1.454583,0.000000,0.084999,1.507660,0.000000,0.398533,8.361587,0.000000
1700,0.5532,0.087076,1.474570,0.000000,0.085515,1.584581,0.000000,0.398760,8.687684,0.000000
1720,0.5597,0.087176,1.507669,0.000000,0.086026,1.636308,0.000000,0.398522,8.628263,0.000000
1740,0.5662,0.087790,1.508583,0.000000,0.086543,1.659712,0.000000,0.399301,8.535772,0.000000
1760,0.5727,0.088486,1.510028,0.000000,0.087010,1.693618,0.000000,0.402516,8.419810,0.000000
1780,0.5792,0.088967,1.548654,0.000000,0.087485,1.663963,0.000000,0.401266,8.584682,0.000000
1800,0.5857,0.089391,1.576527,0.000000,0.088160,1.656094,0.000000,0.401232,8.625081,0.000000
1820,0.5922,0.089670,1.596556,0.000000,0.088665,1.706484,0.000000,0.401217,8.413161,0.000000
1840,0.5987,0.090677,1.546237,0.000000,0.089037,1.758595,0.000000,0.399188,8.617832,0.000000
1860,0.6052,0.090940,1.498437,0.000000,0.089465,1.789316,0.000000,0.400035,8.712052,0.000000
1880,0.6117,0.091420,1.530940,0.000000,0.089279,1.776539,0.000000,0.400254,8.755847,0.000000
1900,0.6182,0.091402,1.519850,0.000000,0.089330,1.742799,0.000000,0.399694,8.688880,0.000000
1920,0.6247,0.091111,1.505235,0.000000,0.089640,1.756935,0.000000,0.397959,8.752359,0.000000
1940,0.6313,0.091605,1.534958,0.000000,0.089875,1.745905,0.000000,0.398029,8.633495,0.000000
1960,0.6378,0.091727,1.535195,0.000000,0.089913,1.722650,0.000000,0.397991,8.794820,0.000000
1980,0.6443,0.091513,1.645211,0.000000,0.090285,1.750489,0.000000,0.398023,8.874031,0.000000
2000,0.6508,0.091913,1.701163,0.000000,0.090732,1.759936,0.000000,0.398662,8.838057,0.000000
2020,0.6573,0.092326,1.702347,0.000000,0.091197,1.755997,0.000000,0.398632,8.792126,0.000000
2040,0.6638,0.092577,1.744000,0.000000,0.091658,1.816895,0.000000,0.400196,8.771672,0.000000
2060,0.6703,0.092671,1.761480,0.000000,0.091927,1.859013,0.000000,0.400093,8.854156,0.000000
2080,0.6768,0.093457,1.792714,0.000000,0.092271,1.878232,0.000000,0.399619,9.114841,0.000000
2100,0.6833,0.094031,1.838845,0.000000,0.092388,1.926143,0.000000,0.400182,9.062508,0.000000
2120,0.6898,0.094234,1.872472,0.000000,0.092879,1.928991,0.000000,0.401602,9.215499,0.000000
2140,0.6963,0.094325,1.904798,0.000000,0.093285,1.902459,0.000000,0.402610,9.498496,0.000000
2160,0.7028,0.094883,1.864846,0.000000,0.093941,1.898353,0.000000,0.400966,9.571329,0.000000
2180,0.7093,0.095606,1.851757,0.000000,0.094314,1.906080,0.000000,0.400020,9.399012,0.000000
2200,0.7159,0.095719,1.844786,0.000000,0.094922,1.930469,0.000000,0.400658,9.608951,0.000000
2220,0.7224,0.096446,1.843601,0.000000,0.095336,1.974922,0.000000,0.398592,9.518298,0.000000
2240,0.7289,0.097112,1.839932,0.000000,0.095965,1.989740,0.000000,0.399023,9.749082,0.000000
2260,0.7354,0.097431,1.848532,0.000000,0.096116,1.998467,0.000000,0.400590,9.724492,0.000000
2280,0.7419,0.097243,1.848277,0.000000,0.096440,1.982401,0.000000,0.401733,9.957487,0.000000
2300,0.7484,0.097574,1.821307,0.000000,0.096513,2.046530,0.000000,0.399880,10.046920,0.000000
2320,0.7549,0.098093,1.832432,0.000000,0.096270,2.063636,0.000000,0.400229,9.867082,0.000000
2340,0.7614,0.098812,1.853399,0.000000,0.097095,2.018513,0.000000,0.401926,9.981271,0.000000
2360,0.7679,0.099268,1.899499,0.000000,0.097619,2.024651,0.000000,0.404098,9.860010,0.000000
2380,0.7744,0.099365,1.910407,0.000000,0.097871,2.044662,0.000000,0.404600,9.885073,0.000000
2400,0.7809,0.099689,1.921311,0.000000,0.097939,2.104924,0.000000,0.402866,9.838161,0.000000
2420,0.7874,0.099751,1.891727,0.000000,0.098012,2.108550,0.000000,0.402335,9.851568,0.000000
2440,0.7939,0.099818,1.849247,0.000000,0.098171,2.106965,0.000000,0.404606,9.998857,0.000000
2460,0.8005,0.100180,1.816142,0.000000,0.098518,2.114199,0.000000,0.403120,10.109405,0.000000
2480,0.807,0.100618,1.784438,0.000000,0.098914,2.110557,0.000000,0.404212,9.990520,0.000000
2500,0.8135,0.100261,1.719247,0.000000,0.099217,2.100122,0.000000,0.404729,9.977630,0.000000
2520,0.82,0.100505,1.716007,0.000000,0.099498,2.083623,0.000000,0.407212,10.188771,0.000000
2540,0.8265,0.101352,1.712633,0.000000,0.100081,2.083580,0.000000,0.409688,10.349497,0.000000
2560,0.833,0.101725,1.687044,0.000000,0.100590,2.035074,0.000000,0.412038,10.671455,0.000000
2580,0.8395,0.102213,1.662634,0.000000,0.101118,1.999427,0.000000,0.410974,10.686323,0.000000
2600,0.846,0.102390,1.600251,0.000000,0.101157,1.945805,0.000000,0.409732,10.530452,0.000000
2620,0.8525,0.102991,1.617323,0.000000,0.101127,1.932005,0.000000,0.409699,10.488439,0.000000
2640,0.859,0.103344,1.694550,0.000000,0.101783,1.929149,0.000000,0.408754,10.493432,0.000000
2660,0.8655,0.103701,1.658560,0.000000,0.102279,1.909697,0.000000,0.408330,10.462790,0.000000
2680,0.872,0.104073,1.639188,0.000000,0.102744,1.869166,0.000000,0.409460,10.586137,0.000000
2700,0.8785,0.104443,1.661615,0.000000,0.103410,1.832553,0.000000,0.409671,10.734595,0.000000
2720,0.8851,0.104063,1.651422,0.000000,0.103725,1.848398,0.000000,0.407504,10.597048,0.000000
2740,0.8916,0.104472,1.628965,0.000000,0.103447,1.831849,0.000000,0.408636,10.855499,0.000000
2760,0.8981,0.104507,1.679050,0.000000,0.102968,1.802023,0.000000,0.407083,11.033328,0.000000
2780,0.9046,0.104364,1.679609,0.000000,0.102897,1.775117,0.000000,0.404533,11.177934,0.000000
2800,0.9111,0.104555,1.620073,0.000000,0.103592,1.758459,0.000000,0.403698,11.215151,0.000000
2820,0.9176,0.105344,1.655414,0.000000,0.104177,1.761540,0.000000,0.404097,11.242352,0.000000
2840,0.9241,0.106038,1.659001,0.000000,0.104304,1.753483,0.000000,0.405033,11.243913,0.000000
2860,0.9306,0.106942,1.669372,0.000000,0.104513,1.729078,0.000000,0.406523,10.970626,0.000000
2880,0.9371,0.107212,1.683448,0.000000,0.104850,1.769696,0.000000,0.406729,11.120941,0.000000
2900,0.9436,0.107626,1.703638,0.000000,0.104828,1.787503,0.000000,0.405487,11.248980,0.000000
2920,0.9501,0.107860,1.707491,0.000000,0.105563,1.773665,0.000000,0.407769,11.225364,0.000000
2940,0.9566,0.108023,1.702186,0.000000,0.105614,1.790287,0.000000,0.406300,11.259810,0.000000
2960,0.9631,0.108102,1.702619,0.000000,0.106040,1.826624,0.000000,0.406147,11.277782,0.000000
2980,0.9697,0.108299,1.688249,0.000000,0.106026,1.787974,0.000000,0.408600,11.305601,0.000000
3000,0.9762,0.108867,1.682177,0.000000,0.105984,1.784592,0.000000,0.410196,11.615770,0.000000
3020,0.9827,0.108512,1.706924,0.000000,0.106191,1.739185,0.000000,0.410021,11.714847,0.000000
3040,0.9892,0.108746,1.707633,0.000000,0.106819,1.741378,0.000000,0.410226,11.688166,0.000000
3060,0.9957,0.108923,1.714970,0.000000,0.107162,1.660407,0.000000,0.409430,11.583448,0.000000
